,City,Category,Total_Performances
14,St Andrews,Books,798
19,St Andrews,Music,38
22,St Andrews,Daysout,193
23,St Andrews,Film,101
31,St Andrews,Talks&Lectures,28
73,St Andrews,Kids,11
75,St Andrews,Dance,8
113,St Andrews,Other,83
133,St Andrews,Theatre,25
168,St Andrews,Comedy,7
252,St Andrews,Visualart,83
324,St Andrews,Clubs,1
