,City,Category,Total_Events
238,Edinburgh,Film,573
239,Edinburgh,Music,959
240,Edinburgh,Dance,101
241,Edinburgh,Comedy,683
242,Edinburgh,Other,136
243,Edinburgh,Talks&Lectures,83
244,Edinburgh,Daysout,517
245,Edinburgh,Books,535
246,Edinburgh,Theatre,516
247,Edinburgh,Sport,35
248,Edinburgh,Visualart,195
249,Edinburgh,Kids,94
250,Edinburgh,Clubs,214
251,Edinburgh,LGBT,9
252,Edinburgh,Festival,7
