,City,Category,Total_Events
15,St Andrews,Books,63
16,St Andrews,Music,30
17,St Andrews,Daysout,36
18,St Andrews,Film,50
19,St Andrews,Talks&Lectures,20
20,St Andrews,Kids,9
21,St Andrews,Dance,7
22,St Andrews,Other,16
23,St Andrews,Theatre,17
24,St Andrews,Comedy,6
25,St Andrews,Visualart,6
26,St Andrews,Clubs,1
